order_id,customer_id,order_date,order_status
1,244,2024-03-06,Cancelled
2,442,2023-06-13,Returned
3,1038,2025-02-08,Completed
4,1988,2025-03-02,Returned
5,1673,2024-09-06,Returned
6,684,2023-11-03,Completed
7,91,2022-11-29,Cancelled
8,150,2023-01-12,Completed
9,650,2023-08-29,Returned
10,241,2024-03-15,Cancelled
11,304,2023-09-06,Cancelled
12,1650,2023-10-07,Returned
13,712,2025-06-01,Returned
14,294,2025-01-28,Completed
15,1763,2025-01-16,Returned
16,971,2023-09-05,Completed
17,719,2023-11-15,Completed
18,798,2023-10-24,Returned
19,1424,2022-12-08,Cancelled
20,639,2024-01-03,Completed
21,1284,2025-04-02,Cancelled
22,1911,2023-07-06,Returned
23,1154,2023-06-10,Cancelled
24,1440,2023-05-22,Completed
25,1073,2024-10-19,Cancelled
26,842,2023-10-11,Cancelled
27,517,2023-02-03,Completed
28,1854,2025-07-27,Completed
29,1262,2025-03-14,Returned
30,124,2023-08-10,Returned
31,1030,2022-10-06,Returned
32,1032,2025-03-25,Completed
33,726,2024-04-09,Completed
34,712,2022-09-24,Completed
35,655,2023-06-20,Returned
36,1903,2023-08-20,Returned
37,1285,2023-05-05,Returned
38,198,2023-10-29,Returned
39,1500,2024-04-24,Cancelled
40,1141,2024-03-02,Returned
41,1085,2023-08-19,Returned
42,584,2025-07-18,Returned
43,62,2024-05-11,Returned
44,146,2024-05-27,Cancelled
45,25,2023-11-06,Returned
46,490,2023-09-14,Returned
47,1501,2023-09-04,Returned
48,1545,2024-10-02,Returned
49,20,2023-02-27,Completed
50,1016,2023-07-26,Completed
51,174,2023-04-21,Cancelled
52,51,2023-11-16,Cancelled
53,630,2023-08-17,Returned
54,573,2025-03-13,Cancelled
55,1337,2025-04-23,Completed
56,287,2023-11-27,Cancelled
57,1329,2024-09-12,Returned
58,1173,2023-12-05,Cancelled
59,1890,2023-05-09,Returned
60,1602,2024-12-11,Cancelled
61,923,2025-01-13,Cancelled
62,705,2023-07-21,Completed
63,1963,2025-06-04,Completed
64,706,2024-10-03,Returned
65,1771,2023-08-18,Returned
66,1010,2024-01-12,Returned
67,610,2022-11-28,Returned
68,990,2023-02-27,Cancelled
69,386,2023-10-31,Cancelled
70,1009,2024-03-14,Completed
71,1369,2022-10-29,Returned
72,390,2025-08-19,Cancelled
73,881,2023-11-21,Cancelled
74,489,2022-11-14,Completed
75,650,2023-02-18,Completed
76,68,2025-03-08,Completed
77,1268,2024-07-30,Completed
78,1229,2024-12-10,Returned
79,1897,2024-02-06,Cancelled
80,1736,2023-08-25,Completed
81,1875,2023-01-17,Returned
82,1426,2024-12-28,Returned
83,1231,2022-11-26,Completed
84,1282,2024-10-16,Returned
85,344,2023-02-12,Returned
86,1449,2023-09-30,Returned
87,1325,2025-05-30,Cancelled
88,1965,2023-08-28,Cancelled
89,361,2023-04-25,Returned
90,282,2023-12-31,Cancelled
91,1617,2024-03-17,Returned
92,184,2025-02-10,Cancelled
93,483,2025-05-28,Cancelled
94,719,2023-02-18,Returned
95,180,2024-06-01,Returned
96,943,2022-09-26,Cancelled
97,1691,2022-12-13,Cancelled
98,478,2025-06-21,Returned
99,1911,2023-03-06,Returned
100,1189,2023-03-03,Completed
101,1757,2025-06-09,Completed
102,271,2024-03-15,Returned
103,714,2023-06-12,Cancelled
104,86,2025-02-17,Completed
105,1502,2025-08-09,Cancelled
106,552,2024-05-06,Cancelled
107,781,2024-04-08,Returned
108,1925,2023-04-26,Completed
109,946,2023-06-21,Cancelled
110,1209,2023-05-29,Completed
111,507,2025-01-01,Completed
112,1060,2022-11-25,Returned
113,528,2023-10-02,Returned
114,1253,2024-02-04,Completed
115,1794,2023-07-25,Completed
116,1913,2024-05-21,Returned
117,1164,2025-04-25,Returned
118,910,2023-06-06,Completed
119,893,2023-01-25,Completed
120,429,2025-02-24,Cancelled
121,1532,2023-06-06,Cancelled
122,778,2024-11-09,Returned
123,1367,2023-05-26,Cancelled
124,322,2025-04-18,Returned
125,1828,2024-11-11,Returned
126,783,2022-09-30,Completed
127,1538,2023-12-20,Completed
128,1489,2024-08-23,Completed
129,80,2023-04-23,Returned
130,312,2025-02-08,Completed
131,760,2025-01-04,Completed
132,592,2023-11-28,Completed
133,124,2024-02-21,Completed
134,1721,2024-12-27,Returned
135,1099,2024-04-18,Returned
136,852,2023-10-14,Returned
137,702,2024-03-25,Returned
138,854,2025-06-16,Cancelled
139,80,2025-03-26,Cancelled
140,907,2025-06-02,Completed
141,1498,2025-02-18,Returned
142,1515,2022-11-27,Returned
143,1412,2022-11-02,Completed
144,700,2024-03-15,Cancelled
145,1006,2024-07-10,Cancelled
146,594,2025-06-11,Cancelled
147,1731,2023-11-27,Completed
148,473,2025-06-23,Returned
149,973,2023-01-21,Cancelled
150,1635,2024-04-25,Returned
151,595,2024-01-13,Returned
152,190,2025-05-11,Returned
153,1957,2023-06-15,Returned
154,485,2024-09-24,Cancelled
155,1626,2023-01-02,Completed
156,1577,2023-09-13,Completed
157,1192,2025-05-14,Returned
158,1259,2022-12-09,Completed
159,1344,2024-08-05,Cancelled
160,1572,2024-08-04,Cancelled
161,1977,2023-09-22,Completed
162,1372,2024-02-07,Completed
163,1379,2022-11-07,Returned
164,95,2023-05-12,Returned
165,267,2023-02-21,Cancelled
166,949,2024-04-06,Returned
167,890,2025-08-09,Returned
168,1308,2023-06-19,Cancelled
169,675,2023-05-10,Returned
170,176,2024-05-22,Completed
171,926,2025-09-08,Returned
172,512,2024-01-08,Returned
173,1766,2024-11-01,Cancelled
174,899,2022-09-22,Cancelled
175,1719,2025-08-07,Cancelled
176,790,2025-01-11,Cancelled
177,350,2023-12-11,Returned
178,1760,2024-07-17,Returned
179,1810,2022-09-23,Cancelled
180,1395,2024-11-21,Cancelled
181,1526,2024-03-25,Completed
182,11,2024-07-08,Returned
183,422,2022-09-29,Returned
184,283,2023-07-04,Returned
185,136,2023-02-19,Returned
186,1889,2024-03-31,Completed
187,949,2022-11-21,Completed
188,512,2024-06-08,Completed
189,743,2022-12-04,Completed
190,644,2023-09-19,Returned
