refund_id,return_id,refund_amount,refund_status,refund_date
1,1685,14373.44,Pending,2025-02-03
2,2175,15288.95,Processed,2023-06-25
3,3978,32171.42,Processed,2022-12-26
4,3957,17541.08,Pending,2024-07-28
5,4740,77461.2,Processed,2025-01-12
6,2675,35841.21,Processed,2024-06-24
7,4596,67511.95,Processed,2023-03-06
8,1120,65393.42,Pending,2023-05-07
9,3850,2102.31,Pending,2024-03-22
10,1960,54010.25,Pending,2024-06-27
11,105,48189.79,Pending,2024-12-23
12,3639,10864.47,Processed,2024-08-07
13,4096,16523.87,Pending,2023-08-26
14,2550,56784.12,Pending,2023-06-02
15,4320,18804.13,Processed,2023-10-10
16,3521,9534.06,Processed,2025-01-27
17,1180,74754.58,Pending,2023-06-10
18,2469,66974.12,Pending,2023-06-01
19,1598,53457.47,Processed,2023-11-14
20,2411,11808.44,Pending,2023-05-18
21,2625,61610.9,Pending,2024-08-05
22,4038,61163.53,Processed,2023-02-06
23,1553,29649.81,Pending,2025-02-13
24,768,28980.03,Processed,2023-06-18
25,4521,18175.1,Pending,2024-03-23
26,2244,52078.28,Processed,2023-01-21
27,910,52052.99,Processed,2024-08-20
28,1138,84096.22,Pending,2025-02-12
29,4436,56009.45,Pending,2024-05-29
30,4677,34038.55,Pending,2024-10-03
31,4207,56683.79,Pending,2024-11-03
32,2058,15678.95,Pending,2025-01-31
33,4443,31835.77,Processed,2023-10-18
34,2912,43867.02,Pending,2022-12-17
35,1076,8760.87,Pending,2023-04-15
36,627,70397.58,Processed,2024-04-23
37,4912,67000.64,Pending,2023-04-18
38,4609,18788.08,Pending,2024-01-29
39,638,29391.31,Pending,2023-01-06
40,554,51421.49,Pending,2024-12-05
41,4115,42192.38,Pending,2023-11-06
42,4106,18612.55,Processed,2025-01-21
43,2053,57900.05,Pending,2023-02-12
44,4259,80641.84,Pending,2025-09-17
45,4808,74585.55,Processed,2025-06-20
46,3384,19783.91,Processed,2023-04-19
47,4138,38574.06,Pending,2024-01-10
48,1986,54832.62,Pending,2025-07-30
49,1575,50159.23,Pending,2023-02-23
50,2302,16481.59,Pending,2025-02-15
51,3429,52847.52,Pending,2025-04-08
52,4266,44321.83,Pending,2024-08-27
53,2831,16117.4,Pending,2023-04-29
54,1292,78079.22,Processed,2023-08-05
55,1078,77067.26,Processed,2024-07-08
56,1141,88192.21,Processed,2024-10-14
57,2695,13122.79,Processed,2024-10-12
58,2049,69178.04,Processed,2024-05-12
59,1912,83832.16,Processed,2024-06-12
60,4628,71025.36,Processed,2024-03-19
61,3662,55667.99,Processed,2025-09-10
62,4779,88661.4,Processed,2024-11-05
63,1182,44423.67,Pending,2025-04-29
64,263,16100.53,Pending,2025-06-27
65,4657,40952.53,Pending,2025-07-22
66,2497,84951.72,Processed,2023-10-20
67,2701,55788.31,Processed,2023-09-15
68,4479,73033.98,Pending,2024-01-22
69,2632,79149.98,Processed,2024-01-30
70,2166,24732.9,Pending,2024-11-25
71,3134,32004.27,Processed,2025-06-06
72,2928,63169.13,Processed,2023-08-11
73,256,18993.95,Pending,2025-01-31
74,1057,52753.37,Pending,2024-02-12
75,3099,21890.25,Processed,2025-06-28
76,1156,14217.53,Pending,2025-04-25
77,555,58192.41,Processed,2023-12-01
78,1479,45845.32,Processed,2023-09-14
79,1614,4330.27,Pending,2024-03-19
80,2161,63335.55,Processed,2025-07-21
81,2264,46289.13,Pending,2022-10-07
82,195,81834.7,Pending,2024-03-04
83,1460,50507.63,Pending,2023-12-03
84,2958,75452.11,Pending,2022-11-15
85,649,17587.39,Processed,2025-05-28
86,738,75656.4,Pending,2024-05-25
87,3055,48791.56,Pending,2024-11-30
88,3498,60916.82,Processed,2023-09-13
89,2256,58952.62,Processed,2023-04-05
90,1757,56412.5,Pending,2023-11-20
91,1658,62624.13,Pending,2024-11-24
92,2755,63778.7,Processed,2023-09-29
93,1644,44208.52,Pending,2024-12-22
94,709,8018.77,Pending,2025-02-08
95,3073,46984.03,Processed,2024-08-15
96,781,44646.8,Pending,2024-06-26
97,4450,62758.31,Pending,2025-05-24
98,1229,24936.33,Pending,2023-04-22
99,2512,57694.84,Processed,2025-07-15
100,998,35189.4,Processed,2022-12-13
101,231,87944.02,Processed,2023-02-08
102,1677,24645.31,Pending,2024-03-24
103,2226,14261.81,Pending,2025-02-25
104,4070,9097.3,Processed,2025-06-17
105,4082,24690.89,Pending,2024-07-30
106,3386,77963.25,Processed,2023-02-07
107,4975,35507.15,Processed,2023-09-19
