return_id,order_id,product_id,return_date,return_reason
1,14400,682,2024-03-20,Defective
2,16798,737,2022-09-21,Late Delivery
3,2028,778,2025-06-19,Defective
4,1317,841,2025-02-21,Changed Mind
5,6403,399,2024-10-15,Late Delivery
6,14844,757,2024-11-01,Changed Mind
7,18,427,2023-05-18,Defective
8,2609,759,2025-03-29,Late Delivery
9,7733,942,2023-06-06,Changed Mind
10,2832,717,2023-10-15,Wrong Size
11,16763,613,2025-07-04,Changed Mind
12,15611,846,2024-05-11,Wrong Size
13,2701,85,2024-09-11,Late Delivery
14,2249,331,2023-12-18,Defective
15,4009,182,2025-03-19,Changed Mind
16,19219,387,2023-08-22,Defective
17,5725,709,2022-12-12,Defective
18,12282,402,2023-01-20,Late Delivery
19,371,922,2023-07-29,Changed Mind
20,2221,670,2023-03-07,Changed Mind
21,1210,458,2024-09-02,Defective
22,13033,885,2023-12-07,Late Delivery
23,8205,89,2023-09-28,Changed Mind
24,4256,431,2023-11-01,Wrong Size
25,18849,31,2022-11-05,Wrong Size
26,10348,990,2023-06-18,Changed Mind
27,18492,924,2025-03-11,Defective
28,8706,251,2025-08-07,Wrong Size
29,9975,230,2023-06-20,Late Delivery
30,16065,967,2023-10-30,Changed Mind
31,16018,848,2024-10-29,Wrong Size
32,3970,620,2023-09-27,Late Delivery
33,13770,623,2023-11-13,Defective
34,17809,971,2025-01-08,Wrong Size
35,13178,272,2024-10-16,Late Delivery
36,14414,673,2023-11-01,Changed Mind
37,10671,824,2023-02-01,Wrong Size
38,15285,985,2023-07-10,Late Delivery
39,8898,813,2022-10-28,Wrong Size
40,15534,551,2024-03-17,Late Delivery
41,2190,559,2024-09-29,Changed Mind
42,7281,949,2024-09-10,Wrong Size
43,2328,94,2024-12-25,Late Delivery
44,14945,136,2024-05-05,Changed Mind
45,18711,153,2025-08-23,Wrong Size
46,9737,551,2023-01-31,Late Delivery
47,4542,603,2023-04-21,Wrong Size
48,14433,423,2024-11-17,Defective
49,12318,416,2023-08-31,Defective
50,3131,670,2025-07-05,Wrong Size
51,13870,580,2025-04-26,Changed Mind
52,3775,788,2024-01-06,Wrong Size
53,2282,59,2023-10-20,Late Delivery
54,7875,991,2023-10-22,Wrong Size
55,1784,88,2025-06-15,Wrong Size
56,13458,374,2025-01-04,Changed Mind
57,5256,664,2024-11-21,Changed Mind
58,17020,886,2025-05-21,Late Delivery
59,18231,467,2023-12-09,Late Delivery
60,17339,323,2024-05-02,Changed Mind
61,10412,154,2024-07-28,Wrong Size
62,15742,726,2023-05-27,Defective
63,408,850,2024-10-31,Defective
64,6994,889,2025-02-22,Late Delivery
65,5719,562,2023-11-18,Changed Mind
66,7273,474,2023-05-11,Late Delivery
67,3039,739,2023-03-11,Defective
68,14438,946,2023-02-19,Changed Mind
69,2095,848,2025-04-21,Wrong Size
70,6633,269,2024-10-14,Wrong Size
71,10869,671,2025-01-10,Changed Mind
72,14319,774,2024-07-29,Changed Mind
73,18767,368,2022-11-16,Changed Mind
74,13189,602,2025-01-07,Changed Mind
75,10140,685,2024-02-20,Defective
76,5134,951,2022-11-12,Wrong Size
77,19746,492,2024-05-18,Changed Mind
78,7118,810,2023-05-23,Wrong Size
79,4341,786,2023-10-07,Defective
80,13617,430,2024-11-11,Wrong Size
81,6344,906,2023-03-02,Defective
82,10777,667,2024-07-03,Wrong Size
83,5594,281,2023-09-29,Changed Mind
84,18013,48,2024-01-06,Wrong Size
85,14221,749,2025-05-23,Late Delivery
86,16490,61,2023-12-20,Wrong Size
87,6214,229,2023-10-03,Changed Mind
88,13089,995,2025-06-16,Late Delivery
89,2402,309,2025-05-24,Late Delivery
90,17109,904,2022-11-18,Wrong Size
91,18071,106,2024-09-24,Wrong Size
92,1706,748,2022-09-21,Late Delivery
93,166,722,2023-01-30,Wrong Size
94,17313,235,2023-02-28,Wrong Size
95,1462,242,2023-04-02,Changed Mind
96,1126,675,2024-11-07,Changed Mind
97,11727,112,2025-08-19,Defective
98,10299,947,2024-02-03,Wrong Size
99,14030,30,2024-07-27,Defective
100,4912,879,2023-01-25,Changed Mind
101,9851,112,2024-10-02,Late Delivery
102,1470,538,2024-06-24,Wrong Size
103,13478,397,2023-01-03,Wrong Size
104,12197,747,2024-03-16,Defective
105,8738,409,2024-03-23,Defective
106,18659,180,2023-02-07,Changed Mind
107,10361,219,2024-01-13,Late Delivery
108,14616,535,2024-03-04,Changed Mind
109,12035,402,2025-05-10,Wrong Size
110,11347,410,2022-11-08,Wrong Size
111,7494,117,2025-04-10,Wrong Size
112,2612,559,2023-04-11,Wrong Size
113,6072,399,2022-10-14,Wrong Size
114,18934,761,2024-02-01,Defective
115,19166,135,2022-11-07,Defective
116,18340,135,2023-03-16,Late Delivery
117,6038,222,2025-05-10,Changed Mind
118,13520,273,2024-01-15,Wrong Size
119,2521,422,2022-10-21,Late Delivery
120,6277,101,2023-03-06,Late Delivery
121,17432,491,2023-03-03,Wrong Size
122,5428,749,2023-02-05,Changed Mind
123,17457,544,2024-11-08,Wrong Size
124,12522,758,2023-06-18,Changed Mind
125,6604,32,2022-11-06,Wrong Size
126,18884,917,2025-07-17,Late Delivery
127,547,563,2024-05-02,Wrong Size
128,1188,31,2022-11-25,Wrong Size
129,10432,302,2023-05-01,Wrong Size
130,9522,417,2023-01-15,Wrong Size
131,2377,88,2023-06-03,Defective
132,11495,258,2023-08-11,Wrong Size
133,3960,271,2024-05-09,Late Delivery
134,8157,589,2023-08-27,Changed Mind
135,2709,538,2023-05-03,Wrong Size
136,9076,356,2023-11-10,Defective
137,14176,327,2022-12-06,Changed Mind
138,13157,532,2024-01-04,Changed Mind
139,15500,239,2023-01-10,Wrong Size
140,1579,823,2025-05-15,Changed Mind
141,9465,897,2024-02-04,Late Delivery
142,2753,241,2025-09-16,Defective
143,12735,822,2025-02-02,Wrong Size
144,14536,939,2025-03-08,Wrong Size
145,5905,99,2024-11-04,Defective
146,16998,686,2023-05-13,Defective
147,5957,692,2024-08-25,Changed Mind
148,7176,555,2025-07-10,Changed Mind
149,3633,583,2025-03-14,Late Delivery
150,4752,898,2022-09-19,Wrong Size
151,6213,60,2024-06-07,Late Delivery
152,2812,402,2024-01-29,Changed Mind
153,12129,441,2023-01-22,Late Delivery
154,15572,756,2022-12-07,Changed Mind
155,1510,558,2025-08-25,Changed Mind
156,18410,847,2024-07-03,Defective
157,7924,186,2025-01-23,Late Delivery
158,2868,552,2024-06-03,Late Delivery
159,14163,133,2024-07-08,Changed Mind
160,10550,1000,2022-12-03,Late Delivery
161,5351,733,2024-02-20,Changed Mind
162,14784,584,2024-07-30,Defective
163,2431,516,2024-02-15,Wrong Size
164,5108,498,2025-07-07,Changed Mind
165,6812,685,2023-11-23,Late Delivery
166,11739,355,2023-12-18,Late Delivery
167,4421,888,2024-05-31,Changed Mind
168,4157,320,2024-11-06,Wrong Size
169,13870,239,2025-06-02,Changed Mind
170,8555,623,2025-05-31,Wrong Size
171,228,116,2025-02-22,Changed Mind
172,19152,692,2023-03-17,Changed Mind
173,15258,316,2025-01-28,Defective
174,7215,163,2023-11-19,Wrong Size
175,11882,903,2024-11-05,Wrong Size
176,15258,433,2024-07-02,Wrong Size
177,17900,55,2024-02-04,Defective
178,14448,169,2023-06-25,Changed Mind
179,7235,438,2023-05-01,Defective
180,12164,257,2025-06-07,Wrong Size
181,12249,455,2024-11-16,Late Delivery
182,19227,181,2023-06-14,Wrong Size
183,6720,180,2024-01-26,Defective
184,4348,778,2023-04-22,Wrong Size
185,11713,222,2024-07-31,Changed Mind
186,1224,228,2023-04-11,Changed Mind
187,6566,886,2023-05-13,Wrong Size
188,4966,979,2025-01-22,Changed Mind
189,499,911,2024-12-15,Wrong Size
190,1801,752,2023-10-13,Wrong Size
191,9361,764,2025-04-29,Late Delivery
192,10380,551,2024-04-22,Wrong Size
193,4926,319,2025-01-22,Defective
194,4581,484,2024-05-24,Wrong Size
195,12736,377,2023-02-01,Wrong Size
196,5608,991,2024-04-05,Changed Mind
197,18844,221,2023-04-24,Wrong Size
198,16881,414,2025-07-15,Changed Mind
199,8842,927,2022-11-21,Late Delivery
200,4036,912,2025-04-20,Defective
201,7248,58,2023-12-13,Changed Mind
202,1088,897,2024-12-27,Late Delivery
203,18773,54,2023-09-07,Defective
204,18676,425,2022-12-08,Late Delivery
205,15919,237,2025-02-08,Wrong Size
206,18342,342,2023-09-11,Wrong Size
207,4156,269,2023-07-06,Late Delivery
208,15132,600,2022-11-19,Wrong Size
209,18069,646,2023-04-12,Late Delivery
210,17789,873,2023-10-05,Changed Mind
211,13157,345,2023-03-20,Late Delivery
212,5508,593,2025-04-05,Changed Mind
213,6561,960,2023-09-21,Wrong Size
214,16758,250,2023-04-29,Defective
215,13229,425,2023-05-22,Wrong Size
216,8112,781,2024-12-05,Late Delivery
217,16646,805,2023-12-26,Wrong Size
